2018/1/1,A319,46
2018/1/2,A319,46
2018/1/3,A319,46
2018/1/4,A319,43
2018/1/5,A319,39
2018/1/6,A319,40
2018/1/7,A319,46
2018/1/8,A319,44
2018/1/9,A319,44
2018/1/10,A319,47
2018/1/11,A319,48
2018/1/12,A319,44
2018/1/13,A319,44
2018/1/14,A319,41
2018/1/15,A319,43
2018/1/16,A319,44
2018/1/17,A319,40
2018/1/18,A319,37
2018/1/19,A319,39
2018/1/20,A319,41
2018/1/21,A319,40
2018/1/22,A319,43
2018/1/23,A319,41
2018/1/24,A319,36
2018/1/25,A319,44
2018/1/26,A319,40
2018/1/27,A319,44
2018/1/28,A319,38
2018/1/29,A319,44
2018/1/30,A319,43
2018/1/31,A319,46
2018/2/1,A319,44
2018/2/2,A319,43
2018/2/3,A319,42
2018/2/4,A319,43
2018/2/5,A319,39
2018/2/6,A319,42
2018/2/7,A319,48
2018/2/8,A319,43
2018/2/9,A319,42
2018/2/10,A319,45
2018/2/11,A319,43
2018/2/12,A319,40
2018/2/13,A319,43
2018/2/14,A319,38
2018/2/15,A319,42
2018/2/16,A319,41
2018/2/17,A319,50
2018/2/18,A319,45
2018/2/19,A319,42
2018/2/20,A319,45
2018/2/21,A319,41
2018/2/22,A319,48
2018/2/23,A319,41
2018/2/24,A319,42
2018/2/25,A319,39
2018/2/26,A319,35
2018/2/27,A319,45
2018/2/28,A319,42
2018/3/1,A319,47
2018/3/2,A319,44
2018/3/3,A319,44
2018/3/4,A319,34
2018/3/5,A319,39
2018/3/6,A319,43
2018/3/7,A319,39
2018/3/8,A319,43
2018/3/9,A319,42
2018/3/10,A319,42
2018/3/11,A319,39
2018/3/12,A319,37
2018/3/13,A319,46
2018/3/14,A319,40
2018/3/15,A319,43
2018/3/16,A319,36
2018/3/17,A319,44
2018/3/18,A319,42
2018/3/19,A319,43
2018/3/20,A319,45
2018/3/21,A319,39
2018/3/22,A319,38
2018/3/23,A319,39
2018/3/24,A319,44
2018/3/25,A319,44
2018/3/26,A319,38
2018/3/27,A319,42
2018/3/28,A319,42
2018/3/29,A319,43
2018/3/30,A319,40
2018/3/31,A319,47
2018/4/1,A319,43
2018/4/2,A319,37
2018/4/3,A319,39
2018/4/4,A319,38
2018/4/5,A319,47
2018/4/6,A319,44
2018/4/7,A319,43
2018/4/8,A319,39
2018/4/9,A319,44
2018/4/10,A319,40
2018/4/11,A319,39
2018/4/12,A319,41
2018/4/13,A319,40
2018/4/14,A319,40
2018/4/15,A319,39
2018/4/16,A319,44
2018/4/17,A319,38
2018/4/18,A319,31
2018/4/19,A319,42
2018/4/20,A319,38
2018/4/21,A319,44
2018/4/22,A319,38
2018/4/23,A319,46
2018/4/24,A319,44
2018/4/25,A319,40
2018/4/26,A319,46
2018/4/27,A319,46
2018/4/28,A319,45
2018/4/29,A319,40
2018/4/30,A319,41
2018/5/1,A319,46
2018/5/2,A319,42
2018/5/3,A319,45
2018/5/4,A319,39
2018/5/5,A319,41
2018/5/6,A319,39
2018/5/7,A319,45
2018/5/8,A319,42
2018/5/9,A319,44
2018/5/10,A319,53
2018/5/11,A319,43
2018/5/12,A319,44
2018/5/13,A319,39
2018/5/14,A319,45
2018/5/15,A319,46
2018/5/16,A319,32
2018/5/17,A319,44
2018/5/18,A319,47
2018/5/19,A319,40
2018/5/20,A319,44
2018/5/21,A319,45
2018/5/22,A319,42
2018/5/23,A319,41
2018/5/24,A319,48
2018/5/25,A319,39
2018/5/26,A319,46
2018/5/27,A319,43
2018/5/28,A319,40
2018/5/29,A319,39
2018/5/30,A319,44
2018/5/31,A319,53
2018/6/1,A319,51
2018/6/2,A319,47
2018/6/3,A319,47
2018/6/4,A319,48
2018/6/5,A319,46
2018/6/6,A319,49
2018/6/7,A319,41
2018/6/8,A319,42
2018/6/9,A319,46
2018/6/10,A319,45
2018/6/11,A319,48
2018/6/12,A319,47
2018/6/13,A319,45
2018/6/14,A319,43
2018/6/15,A319,40
2018/6/16,A319,45
2018/6/17,A319,46
2018/6/18,A319,44
2018/6/19,A319,43
2018/6/20,A319,46
2018/6/21,A319,45
2018/6/22,A319,45
2018/6/23,A319,49
2018/6/24,A319,45
2018/6/25,A319,34
2018/6/26,A319,45
2018/6/27,A319,27
2018/6/28,A319,38
2018/6/29,A319,38
2018/6/30,A319,47
2018/1/1,A320,158
2018/1/2,A320,152
2018/1/3,A320,156
2018/1/4,A320,163
2018/1/5,A320,175
2018/1/6,A320,174
2018/1/7,A320,174
2018/1/8,A320,178
2018/1/9,A320,158
2018/1/10,A320,166
2018/1/11,A320,159
2018/1/12,A320,167
2018/1/13,A320,149
2018/1/14,A320,157
2018/1/15,A320,172
2018/1/16,A320,160
2018/1/17,A320,173
2018/1/18,A320,175
2018/1/19,A320,172
2018/1/20,A320,170
2018/1/21,A320,187
2018/1/22,A320,168
2018/1/23,A320,159
2018/1/24,A320,171
2018/1/25,A320,158
2018/1/26,A320,174
2018/1/27,A320,162
2018/1/28,A320,177
2018/1/29,A320,179
2018/1/30,A320,155
2018/1/31,A320,166
2018/2/1,A320,157
2018/2/2,A320,157
2018/2/3,A320,155
2018/2/4,A320,171
2018/2/5,A320,173
2018/2/6,A320,154
2018/2/7,A320,171
2018/2/8,A320,170
2018/2/9,A320,174
2018/2/10,A320,167
2018/2/11,A320,185
2018/2/12,A320,183
2018/2/13,A320,166
2018/2/14,A320,174
2018/2/15,A320,160
2018/2/16,A320,168
2018/2/17,A320,172
2018/2/18,A320,175
2018/2/19,A320,183
2018/2/20,A320,172
2018/2/21,A320,179
2018/2/22,A320,175
2018/2/23,A320,185
2018/2/24,A320,169
2018/2/25,A320,166
2018/2/26,A320,168
2018/2/27,A320,164
2018/2/28,A320,170
2018/3/1,A320,165
2018/3/2,A320,176
2018/3/3,A320,150
2018/3/4,A320,167
2018/3/5,A320,180
2018/3/6,A320,172
2018/3/7,A320,170
2018/3/8,A320,161
2018/3/9,A320,171
2018/3/10,A320,159
2018/3/11,A320,158
2018/3/12,A320,173
2018/3/13,A320,195
2018/3/14,A320,142
2018/3/15,A320,164
2018/3/16,A320,168
2018/3/17,A320,165
2018/3/18,A320,168
2018/3/19,A320,169
2018/3/20,A320,156
2018/3/21,A320,163
2018/3/22,A320,154
2018/3/23,A320,167
2018/3/24,A320,168
2018/3/25,A320,168
2018/3/26,A320,167
2018/3/27,A320,153
2018/3/28,A320,158
2018/3/29,A320,166
2018/3/30,A320,170
2018/3/31,A320,162
2018/4/1,A320,181
2018/4/2,A320,160
2018/4/3,A320,165
2018/4/4,A320,159
2018/4/5,A320,164
2018/4/6,A320,165
2018/4/7,A320,167
2018/4/8,A320,170
2018/4/9,A320,144
2018/4/10,A320,162
2018/4/11,A320,153
2018/4/12,A320,146
2018/4/13,A320,145
2018/4/14,A320,153
2018/4/15,A320,148
2018/4/16,A320,141
2018/4/17,A320,143
2018/4/18,A320,142
2018/4/19,A320,137
2018/4/20,A320,144
2018/4/21,A320,156
2018/4/22,A320,154
2018/4/23,A320,160
2018/4/24,A320,148
2018/4/25,A320,156
2018/4/26,A320,152
2018/4/27,A320,154
2018/4/28,A320,165
2018/4/29,A320,152
2018/4/30,A320,156
2018/5/1,A320,160
2018/5/2,A320,169
2018/5/3,A320,156
2018/5/4,A320,168
2018/5/5,A320,172
2018/5/6,A320,165
2018/5/7,A320,168
2018/5/8,A320,165
2018/5/9,A320,172
2018/5/10,A320,160
2018/5/11,A320,165
2018/5/12,A320,173
2018/5/13,A320,169
2018/5/14,A320,151
2018/5/15,A320,144
2018/5/16,A320,135
2018/5/17,A320,159
2018/5/18,A320,171
2018/5/19,A320,167
2018/5/20,A320,165
2018/5/21,A320,172
2018/5/22,A320,170
2018/5/23,A320,168
2018/5/24,A320,160
2018/5/25,A320,161
2018/5/26,A320,161
2018/5/27,A320,175
2018/5/28,A320,169
2018/5/29,A320,164
2018/5/30,A320,161
2018/5/31,A320,152
2018/6/1,A320,158
2018/6/2,A320,154
2018/6/3,A320,145
2018/6/4,A320,140
2018/6/5,A320,150
2018/6/6,A320,135
2018/6/7,A320,145
2018/6/8,A320,156
2018/6/9,A320,152
2018/6/10,A320,148
2018/6/11,A320,158
2018/6/12,A320,150
2018/6/13,A320,151
2018/6/14,A320,149
2018/6/15,A320,153
2018/6/16,A320,142
2018/6/17,A320,150
2018/6/18,A320,151
2018/6/19,A320,152
2018/6/20,A320,145
2018/6/21,A320,137
2018/6/22,A320,136
2018/6/23,A320,138
2018/6/24,A320,147
2018/6/25,A320,115
2018/6/26,A320,143
2018/6/27,A320,116
2018/6/28,A320,126
2018/6/29,A320,153
2018/6/30,A320,154
2018/1/1,A321,43
2018/1/2,A321,47
2018/1/3,A321,44
2018/1/4,A321,46
2018/1/5,A321,37
2018/1/6,A321,45
2018/1/7,A321,37
2018/1/8,A321,40
2018/1/9,A321,41
2018/1/10,A321,46
2018/1/11,A321,33
2018/1/12,A321,44
2018/1/13,A321,47
2018/1/14,A321,37
2018/1/15,A321,45
2018/1/16,A321,39
2018/1/17,A321,45
2018/1/18,A321,31
2018/1/19,A321,42
2018/1/20,A321,41
2018/1/21,A321,35
2018/1/22,A321,42
2018/1/23,A321,39
2018/1/24,A321,43
2018/1/25,A321,37
2018/1/26,A321,39
2018/1/27,A321,40
2018/1/28,A321,40
2018/1/29,A321,32
2018/1/30,A321,51
2018/1/31,A321,50
2018/2/1,A321,39
2018/2/2,A321,54
2018/2/3,A321,39
2018/2/4,A321,42
2018/2/5,A321,39
2018/2/6,A321,33
2018/2/7,A321,45
2018/2/8,A321,32
2018/2/9,A321,43
2018/2/10,A321,38
2018/2/11,A321,39
2018/2/12,A321,51
2018/2/13,A321,45
2018/2/14,A321,43
2018/2/15,A321,36
2018/2/16,A321,47
2018/2/17,A321,36
2018/2/18,A321,42
2018/2/19,A321,30
2018/2/20,A321,37
2018/2/21,A321,43
2018/2/22,A321,30
2018/2/23,A321,42
2018/2/24,A321,42
2018/2/25,A321,45
2018/2/26,A321,45
2018/2/27,A321,40
2018/2/28,A321,44
2018/3/1,A321,46
2018/3/2,A321,45
2018/3/3,A321,39
2018/3/4,A321,48
2018/3/5,A321,47
2018/3/6,A321,47
2018/3/7,A321,51
2018/3/8,A321,45
2018/3/9,A321,43
2018/3/10,A321,34
2018/3/11,A321,43
2018/3/12,A321,44
2018/3/13,A321,42
2018/3/14,A321,40
2018/3/15,A321,44
2018/3/16,A321,44
2018/3/17,A321,36
2018/3/18,A321,44
2018/3/19,A321,42
2018/3/20,A321,41
2018/3/21,A321,42
2018/3/22,A321,50
2018/3/23,A321,49
2018/3/24,A321,43
2018/3/25,A321,48
2018/3/26,A321,40
2018/3/27,A321,44
2018/3/28,A321,41
2018/3/29,A321,49
2018/3/30,A321,44
2018/3/31,A321,45
2018/4/1,A321,42
2018/4/2,A321,45
2018/4/3,A321,38
2018/4/4,A321,49
2018/4/5,A321,44
2018/4/6,A321,51
2018/4/7,A321,43
2018/4/8,A321,38
2018/4/9,A321,46
2018/4/10,A321,42
2018/4/11,A321,52
2018/4/12,A321,47
2018/4/13,A321,45
2018/4/14,A321,55
2018/4/15,A321,47
2018/4/16,A321,44
2018/4/17,A321,50
2018/4/18,A321,51
2018/4/19,A321,48
2018/4/20,A321,44
2018/4/21,A321,44
2018/4/22,A321,44
2018/4/23,A321,43
2018/4/24,A321,54
2018/4/25,A321,52
2018/4/26,A321,44
2018/4/27,A321,46
2018/4/28,A321,47
2018/4/29,A321,46
2018/4/30,A321,46
2018/5/1,A321,42
2018/5/2,A321,40
2018/5/3,A321,47
2018/5/4,A321,44
2018/5/5,A321,40
2018/5/6,A321,47
2018/5/7,A321,44
2018/5/8,A321,41
2018/5/9,A321,44
2018/5/10,A321,36
2018/5/11,A321,44
2018/5/12,A321,33
2018/5/13,A321,38
2018/5/14,A321,38
2018/5/15,A321,40
2018/5/16,A321,42
2018/5/17,A321,36
2018/5/18,A321,45
2018/5/19,A321,40
2018/5/20,A321,46
2018/5/21,A321,47
2018/5/22,A321,43
2018/5/23,A321,45
2018/5/24,A321,41
2018/5/25,A321,44
2018/5/26,A321,46
2018/5/27,A321,39
2018/5/28,A321,41
2018/5/29,A321,41
2018/5/30,A321,49
2018/5/31,A321,48
2018/6/1,A321,50
2018/6/2,A321,52
2018/6/3,A321,51
2018/6/4,A321,48
2018/6/5,A321,46
2018/6/6,A321,46
2018/6/7,A321,46
2018/6/8,A321,54
2018/6/9,A321,49
2018/6/10,A321,52
2018/6/11,A321,52
2018/6/12,A321,49
2018/6/13,A321,55
2018/6/14,A321,49
2018/6/15,A321,54
2018/6/16,A321,54
2018/6/17,A321,49
2018/6/18,A321,50
2018/6/19,A321,51
2018/6/20,A321,55
2018/6/21,A321,57
2018/6/22,A321,46
2018/6/23,A321,53
2018/6/24,A321,48
2018/6/25,A321,41
2018/6/26,A321,52
2018/6/27,A321,36
2018/6/28,A321,45
2018/6/29,A321,48
2018/6/30,A321,52
2018/1/1,B737,133
2018/1/2,B737,135
2018/1/3,B737,120
2018/1/4,B737,129
2018/1/5,B737,138
2018/1/6,B737,120
2018/1/7,B737,131
2018/1/8,B737,132
2018/1/9,B737,129
2018/1/10,B737,136
2018/1/11,B737,126
2018/1/12,B737,124
2018/1/13,B737,124
2018/1/14,B737,122
2018/1/15,B737,126
2018/1/16,B737,138
2018/1/17,B737,124
2018/1/18,B737,127
2018/1/19,B737,116
2018/1/20,B737,128
2018/1/21,B737,120
2018/1/22,B737,131
2018/1/23,B737,122
2018/1/24,B737,110
2018/1/25,B737,118
2018/1/26,B737,106
2018/1/27,B737,124
2018/1/28,B737,122
2018/1/29,B737,118
2018/1/30,B737,125
2018/1/31,B737,116
2018/2/1,B737,117
2018/2/2,B737,129
2018/2/3,B737,130
2018/2/4,B737,118
2018/2/5,B737,135
2018/2/6,B737,123
2018/2/7,B737,122
2018/2/8,B737,126
2018/2/9,B737,113
2018/2/10,B737,130
2018/2/11,B737,128
2018/2/12,B737,121
2018/2/13,B737,123
2018/2/14,B737,122
2018/2/15,B737,127
2018/2/16,B737,112
2018/2/17,B737,134
2018/2/18,B737,136
2018/2/19,B737,123
2018/2/20,B737,134
2018/2/21,B737,128
2018/2/22,B737,122
2018/2/23,B737,123
2018/2/24,B737,127
2018/2/25,B737,121
2018/2/26,B737,121
2018/2/27,B737,132
2018/2/28,B737,128
2018/3/1,B737,135
2018/3/2,B737,125
2018/3/3,B737,121
2018/3/4,B737,131
2018/3/5,B737,124
2018/3/6,B737,134
2018/3/7,B737,122
2018/3/8,B737,131
2018/3/9,B737,124
2018/3/10,B737,123
2018/3/11,B737,123
2018/3/12,B737,122
2018/3/13,B737,133
2018/3/14,B737,122
2018/3/15,B737,119
2018/3/16,B737,125
2018/3/17,B737,129
2018/3/18,B737,132
2018/3/19,B737,128
2018/3/20,B737,139
2018/3/21,B737,130
2018/3/22,B737,134
2018/3/23,B737,116
2018/3/24,B737,126
2018/3/25,B737,124
2018/3/26,B737,132
2018/3/27,B737,116
2018/3/28,B737,128
2018/3/29,B737,133
2018/3/30,B737,130
2018/3/31,B737,122
2018/4/1,B737,119
2018/4/2,B737,127
2018/4/3,B737,126
2018/4/4,B737,133
2018/4/5,B737,126
2018/4/6,B737,124
2018/4/7,B737,133
2018/4/8,B737,123
2018/4/9,B737,119
2018/4/10,B737,124
2018/4/11,B737,109
2018/4/12,B737,112
2018/4/13,B737,108
2018/4/14,B737,115
2018/4/15,B737,130
2018/4/16,B737,112
2018/4/17,B737,126
2018/4/18,B737,116
2018/4/19,B737,116
2018/4/20,B737,106
2018/4/21,B737,116
2018/4/22,B737,130
2018/4/23,B737,119
2018/4/24,B737,118
2018/4/25,B737,120
2018/4/26,B737,125
2018/4/27,B737,129
2018/4/28,B737,122
2018/4/29,B737,122
2018/4/30,B737,127
2018/5/1,B737,120
2018/5/2,B737,128
2018/5/3,B737,136
2018/5/4,B737,125
2018/5/5,B737,130
2018/5/6,B737,119
2018/5/7,B737,121
2018/5/8,B737,127
2018/5/9,B737,115
2018/5/10,B737,127
2018/5/11,B737,125
2018/5/12,B737,129
2018/5/13,B737,125
2018/5/14,B737,118
2018/5/15,B737,112
2018/5/16,B737,101
2018/5/17,B737,138
2018/5/18,B737,125
2018/5/19,B737,136
2018/5/20,B737,123
2018/5/21,B737,115
2018/5/22,B737,129
2018/5/23,B737,126
2018/5/24,B737,129
2018/5/25,B737,117
2018/5/26,B737,116
2018/5/27,B737,127
2018/5/28,B737,131
2018/5/29,B737,124
2018/5/30,B737,129
2018/5/31,B737,136
2018/6/1,B737,129
2018/6/2,B737,138
2018/6/3,B737,128
2018/6/4,B737,109
2018/6/5,B737,130
2018/6/6,B737,115
2018/6/7,B737,130
2018/6/8,B737,130
2018/6/9,B737,132
2018/6/10,B737,133
2018/6/11,B737,129
2018/6/12,B737,136
2018/6/13,B737,134
2018/6/14,B737,137
2018/6/15,B737,123
2018/6/16,B737,133
2018/6/17,B737,136
2018/6/18,B737,129
2018/6/19,B737,135
2018/6/20,B737,124
2018/6/21,B737,131
2018/6/22,B737,122
2018/6/23,B737,128
2018/6/24,B737,129
2018/6/25,B737,105
2018/6/26,B737,135
2018/6/27,B737,102
2018/6/28,B737,113
2018/6/29,B737,128
2018/6/30,B737,137
